,DATE,Extreme Days,Linear model for extreme days
0,19850101,167,147.58536585365835
1,19860101,148,147.9015009380862
2,19870101,164,148.21763602251394
3,19880101,134,148.53377110694169
4,19890101,142,148.84990619136943
5,19900101,151,149.16604127579728
6,19910101,143,149.48217636022503
7,19920101,137,149.79831144465277
8,19930101,151,150.11444652908062
9,19940101,152,150.43058161350837
10,19950101,123,150.7467166979361
11,19960101,126,151.06285178236385
12,19970101,142,151.3789868667917
13,19980101,154,151.69512195121945
14,19990101,146,152.0112570356472
15,20000101,164,152.32739212007493
16,20010101,157,152.6435272045028
17,20020101,156,152.95966228893053
18,20030101,181,153.27579737335827
19,20040101,152,153.59193245778613
20,20050101,166,153.90806754221387
21,20060101,178,154.2242026266416
22,20070101,170,154.54033771106936
23,20080101,145,154.8564727954972
24,20090101,157,155.17260787992495
25,20100101,160,155.4887429643527
26,20110101,167,155.80487804878055
27,20120101,158,156.1210131332083
28,20130101,161,156.43714821763604
29,20140101,136,156.75328330206378
30,20150101,161,157.06941838649163
31,20160101,139,157.38555347091938
32,20170101,166,157.70168855534712
33,20180101,172,158.01782363977497
34,20190101,146,158.33395872420272
35,20200101,150,158.65009380863046
36,20210101,152,158.9662288930582
37,20220101,147,159.28236397748606
38,20230101,164,159.5984990619138
39,20240101,165,159.91463414634154
