date,NXT
2023-04-03,36.15
2023-04-04,33.48
2023-04-05,32.84
2023-04-06,32.12
2023-04-10,32.66
2023-04-11,34.25
2023-04-12,35.0
2023-04-13,34.85
2023-04-14,35.08
2023-04-17,34.69
2023-04-18,34.18
2023-04-19,33.36
2023-04-20,33.89
2023-04-21,33.89
2023-04-24,34.45
2023-04-25,34.18
2023-04-26,32.42
2023-04-27,31.87
2023-04-28,31.92
2023-05-01,31.17
2023-05-02,30.86
2023-05-03,29.79
2023-05-04,29.9
2023-05-05,30.37
2023-05-08,30.95
2023-05-09,32.45
2023-05-10,33.66
2023-05-11,35.5
2023-05-12,35.9
2023-05-15,39.25
2023-05-16,40.75
2023-05-17,37.79
2023-05-18,38.7
2023-05-19,39.9
2023-05-22,39.41
2023-05-23,39.79
2023-05-24,39.12
2023-05-25,38.69
2023-05-26,39.72
2023-05-30,39.01
2023-05-31,38.33
2023-06-01,38.32
2023-06-02,40.44
2023-06-05,40.75
2023-06-06,39.54
2023-06-07,39.98
2023-06-08,40.66
2023-06-09,41.14
2023-06-12,40.69
2023-06-13,41.6
2023-06-14,43.18
2023-06-15,41.04
2023-06-16,43.08
2023-06-20,41.07
2023-06-21,39.28
2023-06-22,40.31
2023-06-23,39.32
2023-06-26,38.71
2023-06-27,35.88
2023-06-28,37.17
2023-06-29,37.5
2023-06-30,38.46
2023-07-03,39.63
2023-07-05,39.23
2023-07-06,37.6
2023-07-07,37.05
2023-07-10,37.74
2023-07-11,38.66
2023-07-12,38.74
2023-07-13,38.25
2023-07-14,39.47
2023-07-17,37.82
2023-07-18,39.03
2023-07-19,39.75
2023-07-20,39.21
2023-07-21,39.77
2023-07-24,39.25
2023-07-25,39.84
2023-07-26,37.99
2023-07-27,44.61
2023-07-28,44.93
2023-07-31,42.99
2023-08-01,42.42
2023-08-02,42.18
2023-08-03,41.62
2023-08-04,41.66
2023-08-07,41.31
2023-08-08,40.62
2023-08-09,41.77
2023-08-10,40.84
2023-08-11,40.98
2023-08-14,41.07
2023-08-15,42.19
2023-08-16,40.83
2023-08-17,38.73
2023-08-18,36.04
2023-08-21,37.34
2023-08-22,37.18
2023-08-23,37.02
2023-08-24,38.35
2023-08-25,38.34
2023-08-28,39.67
2023-08-29,40.85
2023-08-30,42.02
2023-08-31,41.77
2023-09-01,42.55
2023-09-05,42.62
2023-09-06,43.9
2023-09-07,43.21
2023-09-08,42.69
2023-09-11,43.46
2023-09-12,42.41
2023-09-13,43.67
2023-09-14,41.77
2023-09-15,43.09
2023-09-18,42.19
2023-09-19,41.57
2023-09-20,42.0
2023-09-21,41.31
2023-09-22,42.8
2023-09-25,40.56
2023-09-26,40.87
2023-09-27,40.95
2023-09-28,40.61
2023-09-29,40.16
2023-10-02,41.42
2023-10-03,37.74
2023-10-04,36.19
2023-10-05,35.19
2023-10-06,32.51
2023-10-09,33.76
2023-10-10,34.2
2023-10-11,37.56
2023-10-12,37.1
2023-10-13,36.16
2023-10-16,35.82
