,year,Accuracy
0,1900,0.7914558740865655
1,1901,0.7773851590106007
2,1902,0.7883229813664596
3,1903,0.7916871618298081
4,1904,0.7924620655898189
5,1905,0.7832923832923833
6,1906,0.8246816846229187
7,1907,0.7682151589242053
8,1908,0.8904899135446686
9,1909,0.7316784869976359
10,1910,0.798358733880422
11,1911,0.8496258185219832
12,1912,0.7470970738504412
13,1913,0.7927593409143653
14,1914,0.8510538641686183
15,1915,0.745730093817657
16,1916,0.8158401540683679
17,1917,0.7469850458273034
18,1918,0.7559923298178332
19,1919,0.7250296559905101
20,1920,0.8030444964871194
21,1921,0.7899606754568587
22,1922,0.7851817334575956
23,1923,0.816022356776898
24,1924,0.8686382393397524
25,1925,0.8035055350553506
26,1926,0.7718258490996125
27,1927,0.8131324488419159
28,1928,0.7980339588918678
29,1929,0.8540178571428572
30,1930,0.7804386750223814
31,1931,0.7790890957446809
32,1932,0.8535755765720923
33,1933,0.8372963086132358
34,1934,0.7562955599734924
35,1935,0.8249958725441637
36,1936,0.8272519954389966
37,1937,0.8030546623794212
38,1938,0.7904524231202705
39,1939,0.8228460793804453
40,1940,0.7384950750847731
41,1941,0.7939449904359871
42,1942,0.7938437149085145
43,1943,0.8418172227350653
44,1944,0.7826519777010884
45,1945,0.8193481276005548
46,1946,0.7904566444330425
47,1947,0.7583744153710024
48,1948,0.7353872381880175
49,1949,0.7724543707973103
50,1950,0.8373353989155693
51,1951,0.813258826517653
52,1952,0.7803620184042875
53,1953,0.8489208633093526
54,1954,0.766184157619622
55,1955,0.7852312008416412
56,1956,0.7827132054684761
57,1957,0.7527769438607025
58,1958,0.811918808119188
59,1959,0.8120936280884266
60,1960,0.7944219523166891
61,1961,0.844471865745311
62,1962,0.8093759242827566
63,1963,0.7495318813442396
64,1964,0.7535502958579882
65,1965,0.856889327088982
66,1966,0.8515374364542717
67,1967,0.8174144824522435
68,1968,0.77250950758137
69,1969,0.8217355808481006
70,1970,0.80158539514773
71,1971,0.7816294462168468
72,1972,0.8249726073078939
73,1973,0.7817539841587938
74,1974,0.8210280150813726
75,1975,0.824909229887254
76,1976,0.8539685573660821
77,1977,0.8078914565154857
78,1978,0.7954350109827142
79,1979,0.8083818060455802
80,1980,0.7754429533406562
81,1981,0.8272549113331102
82,1982,0.784924718886983
83,1983,0.7536707056307912
84,1984,0.8321389587584832
85,1985,0.8392086160269489
86,1986,0.7925315136006066
87,1987,0.8348953895673578
88,1988,0.8170552901669583
89,1989,0.7855120339782916
90,1990,0.8100292480422682
91,1991,0.8298133711315852
92,1992,0.7500471965263357
93,1993,0.7947678529342447
94,1994,0.8255874181852427
95,1995,0.816651779417987
96,1996,0.7592514223914986
97,1997,0.8453210318207494
98,1998,0.8052643948296122
99,1999,0.8268046085116388
100,2000,0.7634940838165276
101,2001,0.8259819017387596
102,2002,0.7855000714047699
103,2003,0.8167053364269141
104,2004,0.8115827834137693
105,2005,0.8217122683142101
106,2006,0.786336404369934
107,2007,0.8133843597361398
108,2008,0.797644005191175
109,2009,0.8048404731140045
110,2010,0.7656327175738418
111,2011,0.7490995213894508
112,2012,0.8205761723575629
113,2013,0.8120115987614882
114,2014,0.8198788115715403
115,2015,0.811719547155143
116,2016,0.8500362932494556
117,2017,0.7753086419753087
118,2018,0.7804854555962243
119,2019,0.799884687454956
120,2020,0.8116469517743403
121,2021,0.8040056550424128
122,2022,0.8536179650679235
123,2023,0.8184839517414068
124,2024,0.881969292087504
125,2025,0.48277583624563153
