Date,Wind,Other Fossil,Gas,Other Renewables,Solar,Hydro,Bioenergy,Nuclear,Coal
2025-01-01,66.48,8.92,123.21,3.58,14.06,71.99,12.81,93.71,66.76
2025-02-01,47.87,8.42,115.05,3.26,20.8,65.98,11.96,81.42,63.29
2025-03-01,52.42,8.31,102.2,3.45,35.72,65.78,11.84,83.53,57.07
2025-04-01,40.76,7.75,80.48,3.26,44.49,67.75,11.2,72.96,44.96
2025-05-01,44.15,7.47,70.7,3.17,51.96,72.53,10.51,70.75,38.19
2025-06-01,44.55,7.15,69.98,2.96,56.57,66.0,9.57,72.21,37.3
2025-07-01,37.19,7.61,86.36,3.05,55.34,66.01,9.92,79.07,46.35
2025-08-01,39.95,7.53,83.1,3.05,53.63,59.24,10.07,77.17,43.97
2025-09-01,51.46,7.31,81.28,3.04,41.13,57.26,10.07,75.98,43.56
2025-10-01,60.96,8.38,98.56,3.21,29.27,57.41,10.85,80.66,50.72

