date,FSLR
2020-01-02,56.4
2020-01-03,57.11
2020-01-06,56.01
2020-01-07,55.76
2020-01-08,56.86
2020-01-09,57.07
2020-01-10,56.74
2020-01-13,56.86
2020-01-14,57.5
2020-01-15,55.21
2020-01-16,54.03
2020-01-17,54.05
2020-01-21,53.48
2020-01-22,51.83
2020-01-23,50.46
2020-01-24,52.61
2020-01-27,51.14
2020-01-28,50.72
2020-01-29,51.18
2020-01-30,50.6
2020-01-31,50.6
2020-02-03,49.88
2020-02-04,51.21
2020-02-05,53.4
2020-02-06,53.49
2020-02-07,52.27
2020-02-10,52.48
2020-02-11,53.31
2020-02-12,54.25
2020-02-13,55.78
2020-02-14,54.88
2020-02-18,55.54
2020-02-19,56.16
2020-02-20,58.26
2020-02-21,53.0
2020-02-24,48.27
2020-02-25,51.8
2020-02-26,48.8
2020-02-27,44.68
2020-02-28,42.55
2020-03-02,45.88
2020-03-03,45.21
2020-03-04,44.93
2020-03-05,44.56
2020-03-06,44.04
2020-03-09,39.99
2020-03-10,40.5
2020-03-11,40.0
2020-03-12,34.18
2020-03-13,38.85
2020-03-16,31.9
2020-03-17,32.2
2020-03-18,30.24
2020-03-19,30.01
2020-03-20,34.39
2020-03-23,33.75
2020-03-24,34.81
2020-03-25,34.18
2020-03-26,35.49
2020-03-27,36.05
2020-03-30,37.17
2020-03-31,36.12
2020-04-01,34.75
2020-04-02,33.56
2020-04-03,35.12
2020-04-06,35.26
2020-04-07,38.0
2020-04-08,37.81
2020-04-09,39.1
2020-04-13,40.31
2020-04-14,41.68
2020-04-15,41.0
2020-04-16,41.61
2020-04-17,41.64
2020-04-20,41.77
2020-04-21,40.16
2020-04-22,40.44
2020-04-23,40.61
2020-04-24,42.37
2020-04-27,41.06
2020-04-28,43.69
2020-04-29,43.03
2020-04-30,44.49
2020-05-01,42.5
2020-05-04,41.84
2020-05-05,44.93
2020-05-06,43.58
2020-05-07,43.6
2020-05-08,45.4
2020-05-11,43.55
2020-05-12,43.37
2020-05-13,40.5
2020-05-14,38.8
2020-05-15,38.72
2020-05-18,40.71
2020-05-19,42.35
2020-05-20,43.6
2020-05-21,43.77
2020-05-22,43.92
2020-05-26,45.0
2020-05-27,47.38
2020-05-28,46.5
