,correlation
0,9.112555881179444e-06
1,1.851160422299273e-05
2,1.2313613855499054e-05
3,6.921478585506426e-06
4,6.326720620049225e-06
5,1.8944006452906504e-05
6,1.4541043706604937e-05
7,3.3716614913127377e-06
8,3.373761783967364e-06
9,1.658575149613888e-05
10,2.0143091906531068e-05
11,3.0449443836384497e-05
12,2.2423234001874384e-05
13,1.6263882252566508e-05
14,2.1715998806526346e-05
15,1.3806405364097205e-05
16,1.7776822541842134e-05
17,-5.160697971960613e-05
18,3.6845830290080935e-05
19,8.337020155196565e-05
20,2.9460536976978087e-06
21,1.480452609008012e-05
22,6.641273064634143e-06
23,3.28909303340797e-05
24,2.9369729566732286e-05
25,1.0999254780625927e-05
26,3.583361745914748e-06
27,2.219959220664313e-05
28,2.872386031972649e-05
29,1.794963501964162e-05
30,1.1932013530033912e-05
31,5.085875309784472e-05
32,1.9085952678814747e-05
33,3.306790883381376e-05
34,1.1894652693165355e-05
35,1.6928804478406686e-05
36,1.3886217907856932e-05
37,5.271752244975557e-06
38,1.697282243093244e-05
39,1.663825877159618e-05
40,1.5262962448378143e-05
41,1.920916426255784e-05
42,2.023037309139769e-05
43,1.9168922295451837e-05
44,1.5058922016298648e-05
45,1.3951832903848658e-05
46,1.5391966845669903e-05
47,7.848328865185596e-06
48,7.724444348986418e-06
49,1.5926295754085177e-06
50,1.7015145769427831e-06
51,5.566661113658982e-06
52,1.8024377465606032e-05
53,1.1107002880771695e-05
54,1.588654702483705e-05
55,1.693697615841317e-05
56,2.984251589205048e-06
57,2.7193497166546788e-05
58,1.8767528487314524e-05
59,2.721291932501962e-05
60,1.7786031393996766e-05
61,2.4443541132001743e-05
62,1.111292179018634e-05
63,2.7206870310388573e-05
64,2.919691441033268e-05
65,1.326968917559258e-05
66,1.2175698345086956e-05
67,1.931707378443896e-05
68,1.3242297281502534e-05
69,2.616866602454126e-05
70,2.185326867591201e-05
71,2.015769208162723e-05
72,1.8137849667178334e-05
73,1.0082502343104931e-05
74,3.1839209715289566e-05
75,1.4592263975333012e-05
76,2.436003999321228e-05
77,1.8534821769084678e-05
78,2.308319443601616e-05
79,2.6977269768949312e-05
80,2.19271288218755e-05
81,1.960365906556329e-05
82,3.0128348962108267e-05
83,2.9106545653758548e-05
84,3.906372285653002e-05
85,2.2037448262429216e-05
86,1.051264063044453e-05
87,2.6511373700983675e-05
