,DATE,Daily total rainfall,Moving average rainfall,Rainfall Linear Model
38718,1985-01-03,15.0,25.6,25.89897602362278
38719,1985-01-04,43.0,23.2,25.898976352764024
38720,1985-01-05,13.0,14.2,25.898976681905268
38721,1985-01-06,0.0,11.2,25.89897701104651
38722,1985-01-07,0.0,2.6,25.898977340187756
38723,1985-01-08,0.0,0.6,25.898977669329
38724,1985-01-09,0.0,0.6,25.898977998470244
38725,1985-01-10,3.0,5.8,25.898978327611488
38726,1985-01-11,0.0,6.0,25.898978656752732
38727,1985-01-12,26.0,7.0,25.898978985893976
38728,1985-01-13,1.0,6.4,25.89897931503522
38729,1985-01-14,5.0,6.4,25.898979644176467
38730,1985-01-15,0.0,1.2,25.89897997331771
38731,1985-01-16,0.0,1.0,25.898980302458956
38732,1985-01-17,0.0,7.0,25.8989806316002
38733,1985-01-18,0.0,7.6,25.898980960741444
38734,1985-01-19,35.0,8.6,25.898981289882688
38735,1985-01-20,3.0,25.8,25.89898161902393
38736,1985-01-21,5.0,71.0,25.898981948165176
38737,1985-01-22,86.0,69.8,25.89898227730642
38738,1985-01-23,226.0,69.2,25.898982606447664
38739,1985-01-24,29.0,71.8,25.898982935588908
38740,1985-01-25,0.0,56.8,25.898983264730152
38741,1985-01-26,18.0,11.6,25.898983593871396
38742,1985-01-27,11.0,5.8,25.89898392301264
38743,1985-01-28,0.0,17.6,25.898984252153884
38744,1985-01-29,0.0,52.2,25.898984581295128
38745,1985-01-30,59.0,52.6,25.898984910436376
38746,1985-01-31,191.0,103.6,25.89898523957762
38747,1985-02-01,13.0,105.2,25.898985568718864
38748,1985-02-02,255.0,93.4,25.898985897860108
38749,1985-02-03,8.0,55.2,25.898986227001352
38750,1985-02-04,0.0,65.2,25.898986556142596
38751,1985-02-05,0.0,18.2,25.89898688528384
38752,1985-02-06,63.0,38.2,25.898987214425084
38753,1985-02-07,20.0,88.2,25.898987543566328
38754,1985-02-08,108.0,91.6,25.898987872707572
38755,1985-02-09,250.0,79.0,25.898988201848816
38756,1985-02-10,17.0,75.0,25.89898853099006
38757,1985-02-11,0.0,55.0,25.898988860131304
38758,1985-02-12,0.0,21.4,25.898989189272548
38759,1985-02-13,8.0,18.0,25.898989518413792
38760,1985-02-14,82.0,18.0,25.898989847555036
