,DATE,Maximum Temperature,Minimum Temperature,Moving Average Temperature,Temperature Linear Model
38718,1985-01-03,-5.6,-8.6,-6.82,9.30357182310766
38719,1985-01-04,-6.0,-13.2,-9.059999999999999,9.303685282824574
38720,1985-01-05,-10.4,-14.3,-12.0,9.303798742541488
38721,1985-01-06,-9.4,-16.4,-14.319999999999999,9.303912202258402
38722,1985-01-07,-15.1,-20.2,-15.539999999999997,9.304025661975302
38723,1985-01-08,-17.1,-21.0,-15.459999999999999,9.304139121692216
38724,1985-01-09,-11.0,-18.6,-14.62,9.30425258140913
38725,1985-01-10,-7.2,-18.0,-12.68,9.304366041126045
38726,1985-01-11,-6.5,-12.1,-11.32,9.304479500842945
38727,1985-01-12,-6.4,-15.4,-10.44,9.304592960559859
38728,1985-01-13,-7.0,-12.3,-10.239999999999998,9.304706420276773
38729,1985-01-14,-10.3,-13.5,-10.08,9.304819879993687
38730,1985-01-15,-7.5,-13.0,-9.6,9.304933339710601
38731,1985-01-16,-7.5,-11.3,-8.6,9.305046799427501
38732,1985-01-17,-4.4,-10.0,-6.68,9.305160259144415
38733,1985-01-18,-1.9,-10.2,-4.680000000000001,9.30527371886133
38734,1985-01-19,0.0,-7.6,-2.44,9.305387178578243
38735,1985-01-20,0.6,-1.1,-0.31999999999999995,9.305500638295143
38736,1985-01-21,7.0,-1.1,1.8199999999999998,9.305614098012057
38737,1985-01-22,6.4,1.0,1.7799999999999998,9.305727557728972
38738,1985-01-23,5.6,2.3,1.5799999999999998,9.305841017445886
38739,1985-01-24,4.0,-3.1,1.7,9.3059544771628
38740,1985-01-25,1.0,-7.2,0.86,9.3060679368797
38741,1985-01-26,6.3,-1.8,-0.5199999999999999,9.306181396596614
38742,1985-01-27,3.7,-2.2,0.22000000000000006,9.306294856313528
38743,1985-01-28,-1.2,-5.6,1.1800000000000002,9.306408316030442
38744,1985-01-29,7.6,-2.6,1.6200000000000003,9.306521775747342
38745,1985-01-30,5.6,-2.2,3.1,9.306635235464256
38746,1985-01-31,8.8,1.3,4.94,9.30674869518117
38747,1985-02-01,8.4,3.7,4.960000000000001,9.306862154898084
38748,1985-02-02,8.0,5.2,4.32,9.306975614614998
38749,1985-02-03,6.6,-0.6,3.7600000000000007,9.307089074331898
38750,1985-02-04,4.5,-3.0,3.56,9.307202534048812
38751,1985-02-05,9.5,-3.4,2.3800000000000003,9.307315993765727
38752,1985-02-06,7.1,2.0,1.6600000000000006,9.30742945348264
38753,1985-02-07,6.2,-0.6,2.62,9.30754291319954
38754,1985-02-08,-0.4,-3.6,0.46000000000000013,9.307656372916455
38755,1985-02-09,6.2,-0.8,-3.0799999999999996,9.307769832633369
38756,1985-02-10,6.0,-8.7,-5.5,9.307883292350283
38757,1985-02-11,-8.6,-13.6,-6.9,9.307996752067197
38758,1985-02-12,-8.7,-14.6,-8.180000000000001,9.308110211784097
38759,1985-02-13,-5.5,-14.6,-8.22,9.308223671501011
38760,1985-02-14,1.8,-7.5,-7.4799999999999995,9.308337131217925
38761,1985-02-15,-0.8,-10.2,-6.4,9.30845059093484
38762,1985-02-16,-2.0,-15.2,-6.6,9.30856405065174
38763,1985-02-17,-1.6,-11.0,-7.94,9.308677510368653
38764,1985-02-18,-5.8,-12.2,-7.7,9.308790970085568
38765,1985-02-19,-4.1,-13.6,-6.9,9.308904429802482
38766,1985-02-20,-2.1,-13.0,-5.959999999999999,9.309017889519396
38767,1985-02-21,0.1,-10.3,-4.14,9.309131349236296
38768,1985-02-22,1.0,-3.9,-2.14,9.30924480895321
38769,1985-02-23,3.6,-6.5,-0.020000000000000018,9.309358268670124
38770,1985-02-24,4.8,-1.0,1.3800000000000001,9.309471728387038
