,year,Rainfall,Linear Prediction
113,1900,19.676529535999645,20.269694092603014
114,1901,19.436083199978803,20.289786604464982
115,1902,19.149026353583263,20.309879116326943
116,1903,19.175289133643894,20.32997162818891
117,1904,15.794436906779147,20.350064140050872
118,1905,20.988842706223238,20.37015665191284
119,1906,21.098068327832028,20.3902491637748
120,1907,18.639941860007795,20.41034167563677
121,1908,17.31362049470284,20.43043418749873
122,1909,20.31106257656911,20.450526699360697
123,1910,22.251652613281635,20.470619211222658
124,1911,14.122508627901388,20.490711723084626
125,1912,22.105174102236475,20.510804234946587
126,1913,19.659410579103934,20.530896746808555
127,1914,21.468062507837484,20.550989258670523
128,1915,21.233081936296646,20.571081770532484
129,1916,21.966629606789965,20.59117428239445
130,1917,17.58166013204975,20.611266794256412
131,1918,20.060494621866553,20.63135930611838
132,1919,19.277899865994037,20.65145181798034
133,1920,19.41954772302375,20.67154432984231
134,1921,16.20126754894526,20.69163684170427
135,1922,23.31281363382525,20.711729353566238
136,1923,19.582154150901793,20.7318218654282
137,1924,20.759684213587885,20.751914377290166
138,1925,21.044576599478443,20.772006889152127
139,1926,23.281404905475636,20.792099401014095
140,1927,24.281712112074384,20.812191912876056
141,1928,19.747830845901035,20.832284424738024
142,1929,15.801020119247662,20.852376936599985
143,1930,22.814619667338764,20.872469448461953
144,1931,23.79157729755417,20.892561960323913
145,1932,20.582007307433532,20.91265447218588
146,1933,18.532337756295448,20.93274698404785
147,1934,17.54020644702591,20.95283949590981
148,1935,21.85962576284148,20.972932007771778
149,1936,23.757203456781433,20.99302451963374
150,1937,22.107876120191303,21.013117031495707
151,1938,21.197302427882217,21.033209543357668
152,1939,25.620215447992745,21.053302055219635
153,1940,25.312174871160146,21.073394567081596
154,1941,23.706025099731157,21.093487078943564
155,1942,18.948424388951924,21.113579590805525
156,1943,18.764622351261597,21.133672102667493
157,1944,25.124260673351802,21.153764614529454
158,1945,22.544253645730908,21.17385712639142
159,1946,21.178628817021913,21.193949638253383
160,1947,20.401016876338925,21.21404215011535
161,1948,21.439767795969427,21.23413466197731
162,1949,19.014689216399542,21.25422717383928
163,1950,23.409141661262964,21.27431968570124
164,1951,21.785094603721863,21.294412197563208
165,1952,23.188812180024083,21.314504709425176
166,1953,16.7949166969378,21.334597221287137
167,1954,25.035907992462484,21.354689733149105
168,1955,22.19109496281082,21.374782245011065
169,1956,23.706014602110468,21.394874756873033
170,1957,22.184586560272155,21.414967268734994
171,1958,23.736470710218622,21.435059780596962
172,1959,16.06293746432352,21.455152292458923
173,1960,23.096697588308036,21.47524480432089
174,1961,24.17014898362701,21.49533731618285
175,1962,19.848617663752677,21.51542982804482
176,1963,19.33262143932865,21.53552233990678
177,1964,17.955059526582737,21.55561485176875
178,1965,29.38879438815251,21.57570736363071
179,1966,27.445871057921945,21.595799875492677
180,1967,23.27326474205626,21.615892387354638
181,1968,24.005270046636046,21.635984899216606
182,1969,20.73872184021924,21.656077411078567
183,1970,24.656338313418377,21.676169922940534
184,1971,17.397251004629798,21.696262434802502
185,1972,19.261749223875633,21.716354946664463
186,1973,19.476122197121096,21.73644745852643
187,1974,24.277356669181465,21.756539970388392
188,1975,19.31489689848016,21.77663248225036
189,1976,17.15533720171639,21.79672499411232
190,1977,23.142228830152035,21.81681750597429
191,1978,22.883913745348146,21.83691001783625
192,1979,24.015275487045734,21.857002529698217
193,1980,23.43756297429445,21.877095041560178
194,1981,27.533785417124232,21.897187553422146
195,1982,19.89467100062306,21.917280065284107
196,1983,22.322155543526865,21.937372577146075
197,1984,22.859999422164233,21.957465089008036
198,1985,21.556777413842358,21.977557600870004
199,1986,24.592648249707313,21.997650112731964
200,1987,25.210955608573993,22.017742624593932
201,1988,24.503542023725466,22.037835136455893
202,1989,19.312477258167785,22.05792764831786
203,1990,21.728876239539538,22.078020160179822
204,1991,18.70167982518551,22.09811267204179
205,1992,22.1201757558128,22.118205183903758
206,1993,24.918858620741325,22.13829769576572
207,1994,25.234596798814415,22.158390207627686
208,1995,25.46559667358749,22.178482719489647
209,1996,18.965470670884546,22.198575231351615
210,1997,19.32722129233634,22.218667743213576
211,1998,24.857894370304486,22.238760255075544
212,1999,23.59088820392588,22.258852766937505
213,2000,22.6567898003444,22.278945278799473
214,2001,26.491234182765975,22.299037790661433
215,2002,27.3563697793448,22.3191303025234
216,2003,16.705884977939576,22.339222814385362
217,2004,22.5389918556638,22.35931532624733
218,2005,21.76242932055365,22.37940783810929
219,2006,20.618791073405518,22.39950034997126
220,2007,27.024219383689058,22.41959286183322
221,2008,21.111796110607234,22.439685373695188
222,2009,22.040012742169665,22.45977788555715
223,2010,24.658279349665246,22.479870397419116
224,2011,20.63056246897349,22.499962909281084
225,2012,22.2683639842281,22.520055421143045
226,2013,22.1583426184979,22.540147933005013
227,2014,20.68498745761996,22.560240444866974
228,2015,20.014470123837317,22.58033295672894
229,2016,20.625428117583315,22.600425468590903
230,2017,24.352162643531067,22.62051798045287
231,2018,17.141940896131388,22.64061049231483
232,2019,20.57142336006629,22.6607030041768
233,2020,18.414070587319376,22.68079551603876
234,2021,22.83855435526192,22.700888027900728
235,2022,18.64109979942263,22.72098053976269
236,2023,26.851898156819725,22.741073051624657
237,2024,25.549862487134327,22.761165563486617
238,2025,14.457350335401845,22.781258075348585
