Year,AD,AE,AF,AG,AL,AM,AO,AR,AS,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FR,GA,GB,GD,GE,GH,GL,GM,GN,GQ,GR,GT,GU,GW,GY,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KZ,LA,LB,LC,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MP,MR,MT,MU,MV,MW,MX,MY,MZ,,NE,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PG,PH,PK,PL,PR,PS,PT,PW,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SY,SZ,TD,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VI,VN,VU,WS,YE,ZA,ZM,ZW
1980,0.0,0.0,421.5670921053265,0.0,0.0,1.2770395892005064,4147.480324804234,17.148689841174136,0.0,0.0,0.0,3.1728505943652108,0.0,0.0,16794.70763512271,0.0,15320.584459653504,0.0,0.0,11519.131280730697,4417.438980191959,0.0,0.0,8.420618544611521,2234.245054294721,0.0,1053.316620149022,7.458066346031295,0.0,0.9736711468854072,0.0,65933.93583344149,1434.73606838653,861.5136823429098,0.0,12261.43444909965,0.0,0.0,8659.85529874745,115.95443029387673,1474.6889871280366,0.8366369666584202,0.0,0.3982731939524382,0.0,0.0,0.0,41.55599193056957,0.0,0.0,117.26132135938356,0.3088673106095623,235.52937664154555,0.0,0.0,135.0951995862737,1.2020872991830105,983.3238838801616,0.0,0.0,0.0,0.0,414.69855145119817,0.0,0.0,3.0422029079523867,10921.56063674256,0.0,1185.077782199879,5945.930857149348,190.3488286431729,0.0,848.1636162548122,0.0,1175.9699015855565,353.2551831576423,34.775516876071144,0.0,6535.699133953083,0.0,8230.108637105199,0.0,0.0,112113.8498166672,6.679321376973341,1420.823803647024,0.0,0.0,0.0,0.0,0.0,3134.4847031115014,2.5673451034419994,1374.5531235980063,0.0,239.21996242633867,0.0,11.07562643269315,29.783503655406143,0.0,0.0,209.8725709953056,0.0,0.0,1408.190442693797,3886.6907999127807,0.0,0.0,0.0,0.0,0.0,0.5222408357980677,0.0,0.0,0.0,3216.0356788027457,0.0,0.0,19745.37168022341,6437.53643463862,0.0,0.0,1996.0141642822048,0.0,0.0,0.0,15463.232848482738,45.06659379880556,101.97730716242104,28117.53547835856,68.15323646580886,14800.359887595558,110629.63618641163,80.32977628457837,0.0,0.0,174.7377388992085,0.0,0.0,0.0,16.82375464502801,1.5946019753011238,1063.607734897058,2157.28925898997,870.8224381996018,8652.714811527967,0.0,0.0,0.0,0.0,0.0,1.1377456074057617,0.0,0.0,0.0,0.0,7122.817046102316,119.51271081168524,188.26580807120283,0.0,2685.495313788427,0.0,0.0,0.0,0.0,7671.28637174479,0.0,14391.43731985964,3980.586787831787,11.056588533299916,2457.198305420418,29.994677134080376,3.7598844177406585,103.77526593788386,9.895128755081473,4724.330927099432,3418.3383214036385,3101.0559016604134,1474.9381406227765,0.0,13.424438230485425,1.869442721096334,0.0,0.0,27.53319893549669,0.0,0.0,0.0,15593.429780997236,0.0,37872.028535802936,0.0,0.0,9.099985435284015,0.0,7.334131425833228,0.0,910.3423894898568,49.231450644436734,0.0,5700.309764157681,78.04864789630487,4061.6814130021057,142.6860582127341
1981,0.0,0.0,463.74525967309165,0.0,0.0,1.2087749652250486,4322.103227903665,16.43734356873332,0.0,0.0,0.0,3.0167761984652364,0.0,0.0,19660.43840288322,0.0,15339.332410033265,0.0,0.0,11543.045204004871,4451.341644656467,0.0,0.0,9.575684399218428,2350.5172054068817,0.0,1041.284765590467,8.717336102401008,0.0,0.5704501695996841,0.0,66903.11469738324,1448.7870190057924,859.8349259494437,0.0,12568.439841671998,0.0,0.0,8783.522902502797,769.7087661243686,1730.7120732581616,0.707430244023528,0.0,0.7712899480580578,0.0,0.0,0.0,50.49885622397967,0.0,0.0,96.65622565691989,0.2455214924754256,231.67622189016703,0.0,0.0,153.6738526899732,0.0,1072.8526536962909,0.0,0.0,0.0,0.0,419.4831037490008,0.0,0.0,2.888019217781948,11312.838683549771,0.0,1303.895856939686,6098.002135047823,194.6737523163347,0.0,788.1528195020683,0.0,1195.358974011784,355.9629814195208,36.713319153800434,0.0,6273.822790624313,0.0,6113.498517103467,0.0,0.0,116806.8595308238,6.592808747871233,544.7766866113833,0.0,0.0,0.0,0.0,0.0,3205.362981682165,2.423760788712443,1388.507819049188,0.0,254.1264912609064,0.0,10.657146816382866,26.39028390670036,0.0,0.0,211.93951026568055,0.0,0.0,1270.351653925415,3944.438844431138,0.0,0.0,0.0,0.0,0.0,0.301290857436667,0.0,0.0,0.0,3344.330565384626,0.0,0.0,19317.06716684565,7316.047722912826,0.0,0.0,2062.5981055043267,0.0,0.0,0.0,15792.679979993194,42.70477543562502,77.86075361788919,28620.541465365928,86.58175948196968,15091.887865628723,112733.49526300206,47.02272439803798,0.0,0.0,205.39542152987136,0.0,0.0,0.0,10.401436179490036,1.2031999666010051,1375.9791304592206,2154.5040375714584,445.8766795510527,7947.201668946745,0.0,0.0,0.0,0.0,0.0,1.0603319281231562,0.0,0.0,0.0,0.0,7159.41424373235,119.14904883736185,193.0678483151194,0.0,2799.45703866905,0.0,0.0,0.0,0.0,7861.867136685552,0.0,14300.328581407626,3413.04077515371,23.58580507673996,2515.714338001183,35.07868744007848,4.379183374023666,89.49955152910745,9.56085637139108,4832.386799372922,3475.9116240271906,2432.2323864643254,1335.853938483507,0.0,14.379953311524933,1.8055040027084723,0.0,0.0,25.746175681794742,0.0,0.0,0.0,17275.982243295934,0.0,38294.325634306704,0.0,0.0,8.919503158221096,0.0,10.553814664398075,0.0,1090.0473331676133,49.119215097657246,0.0,5777.41882991126,114.52067586807762,4231.232725562442,233.1469989877045
1982,0.0,0.0,429.87561214191953,0.0,0.0,1.1113659663926438,4523.088190559329,14.935361266188735,0.0,0.0,0.0,2.7074329346578923,0.0,0.0,18245.100389290736,0.0,15424.470028573776,0.0,0.0,11675.01067034104,4552.704340028146,0.0,0.0,10.42593504585073,2454.6712005418235,0.0,1067.4861247464814,7.466767982178477,0.0,0.5861524292442539,0.0,67858.86874825397,1456.716865682753,912.0311872810166,0.0,12950.908513964154,0.0,0.0,8812.719604148624,1127.391808920434,1482.7985710196533,0.6541263212262409,0.0,0.7559435599593729,0.0,0.0,5.623461564126722,56.4332572181296,0.0,0.0,95.52896755329913,0.2369921063743994,98.18455453630956,0.0,0.0,143.48259897291035,1.216286842653383,2686.8826577488294,0.0,0.0,0.0,0.0,430.467351151244,0.0,0.0,2.76312269034117,11683.378672429924,0.0,1358.1669461367255,6226.019802556306,201.06128384357663,0.0,40.4206157871325,0.0,1206.4774216559806,375.323391608096,41.81235578006673,0.0,5778.7203794887855,0.0,5548.204096761599,0.0,0.0,118111.13829675828,6.580736987341409,474.3852272539464,0.0,0.0,0.0,0.0,0.0,3499.7075806573885,2.283708466174486,1190.5880383200304,0.0,207.8908485252422,0.0,10.26165968792822,25.845081326912894,0.0,0.0,185.56523433289465,0.0,0.0,1400.464635503135,4015.963800030586,0.0,0.0,0.0,0.0,0.0,0.4127320790734908,0.0,0.0,0.0,3599.5836399059644,0.0,0.0,19497.08317654576,6155.236095406019,0.0,0.0,1806.522645412251,0.0,0.0,0.0,16203.292650632971,39.54742824697082,83.80002558078151,29137.207929471297,81.14216788033781,15250.078353705012,114362.52121802115,61.47175851617668,0.0,0.0,141.84801469969665,0.0,0.0,0.0,6.946987135422876,0.5346448375443221,1267.670285878109,2265.879510100236,395.3572739930388,7759.883915822044,0.0,0.0,0.0,0.0,0.0,0.986902482860088,0.0,0.0,0.0,0.0,7116.118648184458,62.36086207072033,191.3448674587391,0.0,2947.0851517603,0.0,0.0,0.0,0.0,7997.023049450285,0.0,14896.529356460142,3283.475893020493,31.692226893925856,2631.5136427322086,51.85954570164366,3.63496972287914,74.53354931150449,15.393067983244135,4927.909478004512,3549.06783706768,1927.917654966497,1180.308430401455,0.0,17.58292846483525,1.6499632810724922,0.0,0.0,24.257876835743,0.0,0.0,0.0,19190.982782888143,0.0,38969.54847403934,0.0,0.0,8.613646404205717,0.0,10.279798351001006,0.0,846.9916231758766,28.31362372350457,0.0,5660.6389142054295,95.61332082046424,4398.137086688145,335.8913150030303
1983,0.0,0.0,466.0263572259916,0.0,0.0,1.06776746318796,4709.05466126202,14.630849898364405,0.0,0.0,0.0,2.60954751665162,0.0,0.0,18543.165347038976,0.0,15561.933499712666,0.0,0.0,11788.222860386595,4655.433527693635,0.0,0.0,18.06286779020901,2745.0655482834,0.0,1041.3368161161573,14.02101858831384,0.0,0.6639089929155063,0.0,68679.50065362749,1453.8784482000456,996.1544325187429,0.0,13449.524010296176,0.0,0.0,8780.522152073076,1439.9751357823843,1659.026962668055,0.6274733671940532,0.0,0.1575445835106845,0.0,0.0,0.0,47.84453898500444,0.0,0.0,74.98557124978386,0.2880416998533141,321.6534580360864,0.0,0.0,147.56404110917558,1.0723350511781595,1195.7410835918904,0.0,0.0,0.0,8.073390065458224,443.8788914890964,0.0,0.0,2.7085224411026294,12062.181876025608,0.0,1448.614978567446,6318.257224241336,206.7583325892501,0.0,34.05373428837226,0.0,1215.7227693961513,380.3771191496153,29.93190358605538,0.0,5107.5667353413455,0.0,5246.621443899464,0.0,0.0,117950.49471456897,6.573591935837075,456.92057464975335,0.0,0.0,0.0,0.0,0.0,3962.8933066273776,2.1507713845525176,1333.6315528145644,0.0,263.2078854957949,0.0,9.898995425005818,25.757587583903003,0.0,0.0,178.46768957463598,0.0,0.0,1254.7719390268746,4083.114122837809,0.0,0.0,0.0,0.0,0.0,0.2320262614781247,0.0,0.0,0.0,3824.086315443586,0.0,0.0,19382.30047483665,5838.201024601622,0.0,0.0,2003.9961341498688,0.0,0.0,0.0,16704.222237963888,35.39302188259026,44.35742131860491,29687.77809782256,132.1745934080682,15621.200369111326,116506.38654350824,71.81231768488232,0.0,0.0,142.0494519665686,0.0,0.0,0.0,8.153708805707291,0.6085019072739123,1731.260101504042,2248.4880532608613,398.8705597476488,7760.665978928667,0.0,0.0,0.0,0.0,0.0,0.9875297722750576,0.0,0.0,0.0,0.0,7213.670011873771,74.67953451803804,209.68446198564664,0.0,3084.5250571173724,0.0,0.0,0.0,0.0,8139.995594410477,0.0,14177.316335962654,3320.608878915128,35.51720851890843,2780.169414884803,70.9726183916482,3.516467687036179,40.47164044957199,22.28855833881351,5002.756799904694,3619.5014765602937,1241.6899083571095,1218.807730372299,0.0,23.612627458706992,1.5993847517187991,0.0,0.0,23.05928063306701,0.0,0.0,0.0,21122.951368662438,0.0,39178.11549165337,0.0,0.0,8.227576623214613,0.0,19.690718066625173,0.0,904.7695696026914,54.199414632464006,0.0,5935.552971096262,162.67583540705553,4660.60252485243,643.5673234329794
1984,0.0,0.0,551.6896261872467,0.0,0.0,1.0277672877118875,4869.878970880461,14.050915455863162,0.0,0.0,0.0,2.5574872072556043,0.0,0.0,15848.971406453587,0.0,15764.932843649902,0.0,0.0,12057.423994786985,4743.422021137705,0.0,0.0,22.96199524550288,2717.151637656705,0.0,1102.705266977453,16.062100344920864,0.0,0.4939471601975129,0.0,69306.4774512909,1475.1636584333426,1080.4524728267293,0.0,13961.958146088362,0.0,0.0,8812.762926002964,1310.0211840839245,1527.6626835265429,0.6661741491302873,0.0,0.1584262638356828,0.0,0.0,4.504242028134109,49.16682118384065,0.0,0.0,46.57868320866292,0.1791854172939991,501.37808024763615,0.0,0.0,147.39346911638853,0.0,1963.195782211925,0.0,0.0,0.0,1.0776435546854868,456.06587950143,0.0,0.0,2.706303288970584,12387.570313322063,0.0,1514.045472321652,6440.643711831346,213.93531395902173,0.0,468.1274008988614,0.0,1223.1335220962649,379.97983018218025,22.67758127981831,0.0,5858.660448433119,0.0,4773.689621244467,0.0,0.0,114653.16161693496,6.5325055711844495,260.36917528937846,0.0,0.0,0.0,0.0,0.0,4612.718251745636,2.1132215381543724,1247.8028441530453,0.0,215.0276268447735,0.0,9.545475526446882,23.31556554556972,0.0,0.0,178.11464766223312,0.0,0.0,1319.4530686181806,4187.1312316627245,0.0,0.0,0.0,0.0,0.0,0.331071056336801,0.0,0.0,0.0,4066.154172946381,0.0,0.0,19319.436403307354,6259.367298015963,0.0,0.0,1312.6721739247275,0.0,0.0,0.0,17371.011319831563,33.099264462587826,61.118088196275096,30271.627379197947,180.1313525436026,16089.291996130718,119155.43739120958,69.46406189243113,0.0,0.0,235.41256228992253,0.0,0.0,0.0,5.898064689106591,0.2058909619322914,1367.114231037956,2271.789169311753,472.5766623178721,8572.993996274216,0.0,0.0,0.0,0.0,0.0,0.942697392256988,0.0,0.0,0.0,0.0,7534.553719965977,46.43348567038738,216.07148791793455,0.0,3260.1935758683708,0.0,0.0,0.0,0.0,8282.550638832905,0.0,12801.998971403526,3400.4762405024903,37.0468336133578,2938.3204049388314,86.87819575240648,2.9800925795384616,28.94823789096144,34.066194889618934,5046.066556864118,3687.277602980894,1378.986784496841,1273.256847499846,0.0,22.03946465697889,1.5593910728501628,0.0,0.0,22.552500802633546,0.0,0.0,0.0,22927.076765002534,0.0,39374.56616791208,0.0,0.0,7.894792059431588,0.0,27.410502161252783,0.0,815.2703118761215,56.013191390020765,0.0,6055.268187517593,226.2211192426035,4968.013517768843,1092.565750867652
1985,0.0,0.0,872.064627720757,0.0,0.0,0.9742925833880548,5044.002072776529,12.626611324335784,0.0,0.0,0.0,2.474052582331254,0.0,0.0,15840.746490951562,0.0,16089.62395307552,0.0,0.0,12223.01788201784,4825.102603217323,0.0,0.0,18.899626609557696,2810.3521664561067,0.0,1078.272524321309,21.22146764392348,0.0,0.3560571819702731,0.0,70744.79166592551,1545.9279755403034,1203.5643947055123,0.0,14711.820854318124,0.0,0.0,9162.480821266838,1062.8655961606614,1545.7890545226808,0.6411771318405834,0.0,0.1961566776822538,0.0,0.0,13.450612008811976,56.12410420852975,0.0,0.0,17.88593049963765,0.2092299088412177,502.9997882760531,0.0,0.0,146.92318125096563,0.0,2853.084109732979,0.0,0.0,0.0,1.444027515354094,485.7881580925129,0.0,0.0,2.526574054814546,12539.374778288256,0.0,1884.1224519914035,6544.505148294473,236.69425634682307,0.0,27.51630228326197,0.0,1226.262699962731,352.18288006699174,27.35707578310872,0.0,2054.621591488797,0.0,4876.968791600781,0.0,0.0,118640.80836075172,6.485528544461657,357.9138846133076,0.0,0.0,0.0,0.0,0.0,5552.950828041192,1.924985760369508,1232.792494685635,0.0,257.4910840268332,0.0,9.203688304373408,22.102467973695934,0.0,0.0,153.60386313289763,0.0,0.0,1151.0734249139227,4310.985340481821,0.0,0.0,0.0,0.0,0.0,0.2295329544607255,0.0,0.0,0.0,4301.234337738752,0.0,0.0,19175.154647617437,6035.24146815481,0.0,0.0,1026.7431114698727,0.0,0.0,0.0,17990.651969648883,37.79722908337981,87.94493477610834,30787.39599743218,215.57951290248064,16306.448321323123,121429.65126202538,68.62783396125877,0.0,0.0,318.17184121946576,0.0,0.0,0.0,4.842093788531402,0.2070582790563948,1158.6218257721296,2180.485140347705,743.6182710226982,8479.789008595077,0.0,0.0,0.0,0.0,0.0,0.8597801559528266,0.0,0.0,0.0,0.0,7741.670197008627,68.2714954273519,224.78758767614764,0.0,3556.7744642614343,0.0,0.0,0.0,0.0,8411.313570068225,0.0,10914.547119118672,3584.971221121151,58.49011470649626,3236.3066207309494,87.44790467054966,2.486528553249916,14.813726389139756,38.44523205394673,5075.958629372909,3756.167924404376,1262.283807266641,1147.6260776037498,0.0,39.87972952878706,1.4602142192848229,0.0,0.0,21.613182132280585,0.0,0.0,0.0,24761.131659342933,0.0,38828.8542161099,0.0,0.0,7.3127087219852,0.0,32.78520987731291,0.0,785.3977234815623,53.68505284173596,0.0,6278.784244333042,276.31367251040626,5339.111771437706,2802.317555891624
1986,0.0,0.0,1152.1699649202458,0.0,0.0,0.904945451463882,5264.746587482972,11.896555687527837,0.0,0.0,0.0,2.428588774103709,0.0,0.0,16263.986012824957,0.0,16666.781634479095,0.0,0.0,12464.25435092988,4895.573089187797,0.0,0.0,31.146170473109603,2943.4664689833016,0.0,1033.6556546922036,32.57647013511,0.0,0.380766131368672,0.0,71836.32420937241,1654.618713854063,1330.603047826815,0.0,15464.66198285542,0.0,0.0,9487.074210040728,429.7702008430123,1665.734509542962,0.5914234093421278,0.0,1.1872728616812585,0.0,0.0,10.782956949594364,65.90741768918649,0.0,0.0,28.309949172476237,0.1938364167286081,312.4596354607349,0.0,0.0,156.05591433548574,2.6243315610475366,1867.107593775164,0.0,0.0,0.0,12.224498819991515,518.5516215471351,0.0,0.0,2.424269444497717,12570.24142432888,0.0,1725.4914952960655,6657.670783344414,265.58910922168843,0.0,336.52266292778575,0.0,1223.648043029179,371.1881189154848,23.46954054870832,0.0,1657.8047650484357,0.0,4945.436788137483,0.0,0.0,118104.01310473292,6.450255741206738,330.4087845617445,0.0,0.0,0.0,0.0,0.0,6852.159358108495,1.708571460869819,1199.7034383996108,0.0,352.1479333407083,0.0,8.879824951118858,20.70922947979121,0.0,0.0,152.92204406064704,0.0,0.0,759.5056258312693,4430.85625854433,0.0,0.0,0.0,0.0,0.0,0.238508468300257,0.0,0.0,0.0,4609.436107810084,0.0,0.0,19043.527080571468,4946.62058510735,0.0,0.0,851.8993182708226,0.0,0.0,0.0,18364.92992204493,30.957690123967573,83.3570525162834,31185.537434157337,262.5691329318646,16799.206186952186,124409.99041961202,71.37336972961103,0.0,0.0,277.364464512916,0.0,0.0,0.0,4.150616763872526,1.6647868418685734,729.304625733298,2129.152379023453,400.5862407464636,7679.440767917059,0.0,0.0,0.0,0.0,0.0,0.8252429316095371,0.0,0.0,0.0,0.0,7964.267667563453,54.80204419054472,227.54738413364572,0.0,3802.6197062059896,0.0,0.0,0.0,0.0,8540.29205804795,0.0,12960.981863248964,3761.398711525144,58.60506883663465,3518.4200770074635,159.0923933407656,2.25095970818746,8.974391435014555,46.96806145490651,5073.135166071998,3824.8130852906975,1136.3306731247192,807.5030834901838,0.0,45.4524629181813,1.3857702303145645,0.0,0.0,20.800534034711227,0.0,0.0,0.0,26673.354506690943,0.0,38686.56487686072,0.0,0.0,6.728864983194923,0.0,32.98901918745891,0.0,739.4115956651071,49.97872994664312,0.0,5997.837281048502,288.23147290433883,5762.861857465114,3534.0881823356094
1987,0.0,0.0,1296.1099984234918,0.0,0.0,0.8746102027867665,5465.646841302385,11.500309198268925,0.0,0.0,0.0,2.382455117146754,0.0,0.0,13109.752469349962,0.0,17607.38746567122,0.0,0.0,12845.848267100091,4960.339653375524,0.0,0.0,36.44494679148296,2829.9704317313176,0.0,924.4218987108452,14.114156647154,0.0,0.3694922422768809,0.0,73349.91126131664,1760.5463865855718,1483.8182335697145,0.0,16408.25335886871,0.0,0.0,10214.537818741508,698.9310527446187,1604.277893934784,0.5941489447380186,0.0,6.585989498587303,0.0,0.0,1.0924229682254003,52.49654715934536,0.0,0.0,24.502061880407165,0.2713153570434194,394.4880624948309,0.0,0.0,162.3851277413681,0.0,1920.087868209439,0.0,0.0,0.0,10.90020667199762,578.5804282890355,0.0,0.0,2.398891995731673,13241.281142410038,0.0,1640.439418925552,6791.390643903624,307.94306739073534,0.0,284.11607269187016,0.0,1224.452582176503,355.83912508780145,15.092590645343517,0.0,1462.0444408241392,0.0,5357.488185976883,0.0,0.0,107888.19627053164,6.387671355606543,322.5699801251802,0.0,0.0,0.0,0.0,0.0,8306.497651659398,1.6747544225988678,1034.8985058794135,0.0,269.44035934177464,0.0,8.560426288094867,19.44710161075421,0.0,0.0,142.807530726064,0.0,0.0,754.98349346525,4567.380808819468,0.0,0.0,0.0,0.0,0.0,0.200790964582259,0.0,0.0,0.0,4929.595705945298,0.0,0.0,19056.670289037665,4754.83834252647,0.0,0.0,580.9526280421834,0.0,0.0,0.0,19501.4116401986,30.2309313170784,67.7991138740534,31627.55939635261,321.3659828079601,17311.3602727207,130650.36734057828,61.5186168946376,0.0,0.0,216.2447131104436,0.0,0.0,0.0,5.532129790747133,1.9991267340289465,782.8415387602886,2120.959941879149,1022.3370042836852,8574.517571112752,0.0,0.0,0.0,0.0,0.0,0.7806327095926843,0.0,0.0,0.0,0.0,8312.350977653055,75.42092770108815,221.48355328581437,0.0,3966.429332192078,0.0,0.0,0.0,0.0,8516.694710072006,0.0,12179.52033495784,4029.750328834277,62.46575770274234,3778.708042742561,175.23334389053642,2.285432552212052,4.874379303663097,59.29200237298343,5136.812232754014,3933.765017261819,1370.0196992922538,611.9719556229963,0.0,54.60084844903725,1.3047130756722722,0.0,0.0,20.04845259063369,0.0,0.0,0.0,28519.114499569838,0.0,39185.31140665365,0.0,0.0,6.348514565397185,0.0,46.45573486640986,0.0,692.9106670995418,56.46913589258685,0.0,6412.042406754775,409.7936348898477,6190.312753976046,4355.661605182306
1988,0.0,0.0,1148.071367215172,0.0,0.0,0.9239248646675856,5660.512547874699,11.006525999657486,0.0,0.0,0.0,2.3993202776789606,0.0,0.0,13986.417325680204,0.0,18505.7343885217,0.0,0.0,13089.68752200521,5091.865757740947,0.0,0.0,34.96363896777336,2813.4187456720256,0.0,800.7160802850584,373.776178797256,0.0,0.3363403622082303,0.0,75020.21811069507,1873.460802517068,1630.7029542780615,0.0,17486.84963158762,0.0,0.0,10892.988306303529,513.4911019091046,1529.7364575892434,0.5713519375923621,0.0,11.665975203364344,0.0,0.0,5.249134637830715,77.76027350394749,0.0,0.0,21.762229703793505,0.2547178694310971,338.6564237411411,0.0,0.0,196.1273144725944,0.0,1883.60435837533,0.0,0.0,0.0,14.689494054656215,653.3543899787923,0.0,0.0,2.3678115702465536,14071.05518030562,0.0,1506.0614033320946,7060.556115010807,371.2429641682268,0.0,254.5908563783177,0.0,1230.1908983216165,313.543886618685,22.683466980183592,0.0,1430.757842373505,0.0,5229.739304018843,0.0,0.0,100050.56592064888,6.241649754698277,310.3958571069491,0.0,0.0,0.0,0.0,0.0,9472.357669792253,1.638710529330236,965.23510243241,0.0,285.98942875933506,0.0,8.261074917772426,17.74808018540949,0.0,0.0,149.32992979102244,0.0,0.0,801.9632621494877,5028.077648906208,0.0,0.0,0.0,0.0,0.0,0.2368819465900796,0.0,0.0,0.0,5190.092499800707,0.0,0.0,19183.18683794992,4706.143535182147,0.0,0.0,383.5246067064571,0.0,0.0,0.0,20636.53323971356,28.360379777479935,94.22683437351893,32046.412805331307,355.9989168576573,17323.37812832896,135923.93145362768,60.19865113247619,0.0,0.0,183.05903207796487,0.0,0.0,0.0,5.57197459496747,1.608702450540536,986.897254031034,2292.3738697664835,983.7765831839322,9003.126205514285,0.0,0.0,0.0,0.0,0.0,0.7708570100400897,0.0,0.0,0.0,0.0,8539.331078630661,42.20129394331319,246.88057466499697,0.0,4079.7235493497706,0.0,0.0,0.0,0.0,8593.210401665638,0.0,9155.94490548549,4170.333210656658,60.87942313638337,3992.628709930552,61.45952326501118,2.172442528927157,3.4397928090149086,57.29908278703173,5181.379863202729,4010.940644073122,1446.0328836918156,453.9445439633096,0.0,68.23694767823578,1.257695653561655,0.0,0.0,19.18983679602333,0.0,0.0,0.0,30091.02900400827,0.0,39437.63596497156,0.0,0.0,6.15437265295302,0.0,101.95386341124306,0.0,665.2492300512603,57.46417791051965,0.0,6108.844296887982,414.87456525298,6581.976970664296,6145.812006017439
1989,0.0,0.0,802.6060060141649,0.0,0.0,0.8908525232309817,6016.008215685381,10.404625585086954,0.0,0.0,0.0,2.209193789851676,0.0,0.0,13535.169774847736,0.0,19430.95280020541,0.0,0.0,13460.074802510298,5265.069419880317,0.0,0.0,36.6721033790883,2577.7145284071603,0.0,719.8664761376253,186.7737728906308,0.0,0.4274661467204698,0.0,76972.8303976804,2001.5507404160555,1737.2226104050062,0.0,18676.03670687852,0.0,0.0,11772.591651758385,424.1023197774316,1406.7446993901428,0.5394766534071693,0.0,2.618793109387804,0.0,0.0,10.764616435895968,53.63208782308275,0.0,0.0,23.42396614357752,0.2321014783008013,149.12744119442553,0.0,0.0,203.2228195689056,0.0,2283.686396874489,0.0,0.0,0.0,9.655306477120591,718.3256262921426,0.0,0.0,2.310429967210585,14748.770403064163,0.0,1915.8781854524016,7353.946059839539,440.9168831696856,0.0,219.8929319169707,0.0,1230.9074013640964,291.0754022062002,30.111809016696128,0.0,2248.184570982672,0.0,4605.630182715817,0.0,0.0,89007.91389644193,6.2773052839364745,366.8521541115159,0.0,0.0,0.0,0.0,0.0,10672.320506821816,1.584938841872361,1010.9016568722964,0.0,274.213717423668,0.0,7.971261527946965,16.69536169394943,0.0,0.0,131.83492456473562,0.0,0.0,808.4296504086759,6069.905855573659,0.0,0.0,0.0,0.0,0.0,0.2305013238849854,0.0,0.0,0.0,5388.312087577297,0.0,0.0,19359.530158858408,4713.174018755976,0.0,0.0,303.99085177025694,0.0,0.0,0.0,21719.23176871208,24.566322046868613,117.0822561780214,32371.272976719774,278.22588854281463,17575.910214713953,141347.208652185,58.52447851690102,0.0,0.0,163.58554393158215,0.0,0.0,0.0,4.028429346018185,0.7034529969629266,1028.4884901952655,2213.708660340043,893.4415795690805,8583.17769960372,0.0,0.0,0.0,0.0,0.0,0.7265848268082348,0.0,0.0,0.0,0.0,8945.073032036424,28.140164485411177,244.10740204508105,0.0,4189.690449967463,0.0,0.0,0.0,0.0,9027.829939077814,0.0,2639.236227459632,4569.886571095773,62.78712830032078,4215.003856295626,47.81049924126808,2.0734827659708976,2.676019324193704,45.44957967026091,5283.767149129717,4102.987473492315,1244.5166405174875,390.3561049420634,0.0,81.75726482704805,1.2289780555850651,0.0,0.0,18.671446989289,0.0,0.0,0.0,31674.78763687517,0.0,40301.08454233719,0.0,0.0,5.94348534596399,0.0,109.44192466798756,0.0,827.9389134770852,72.78232273584304,0.0,6166.884072541056,347.8446732965247,7021.394737151541,5202.28962050992
